Date,Adj Close,Close,High,Low,Open,Volume
1995-12-27,546.4000244140625,546.4000244140625,546.4000244140625,545.1099853515625,546.0800170898438,0
1995-12-28,546.1799926757812,546.1799926757812,546.4000244140625,544.030029296875,546.4000244140625,0
1995-12-29,550.0,550.0,550.0,545.219970703125,546.1799926757812,0
1996-01-02,553.1199951171875,553.1199951171875,553.1199951171875,549.8900146484375,550.0,0
1996-01-03,554.3499755859375,554.3499755859375,555.3699951171875,553.1199951171875,553.1199951171875,0
1996-01-04,550.5900268554688,550.5900268554688,555.7999877929688,549.0900268554688,554.3499755859375,0
1996-01-05,546.0800170898438,546.0800170898438,550.6500244140625,543.77001953125,550.5900268554688,0
1996-01-08,548.4400024414062,548.4400024414062,550.6500244140625,543.77001953125,546.0800170898438,0
1996-01-09,543.77001953125,543.77001953125,549.3599853515625,543.22998046875,548.4400024414062,0
1996-01-10,537.260009765625,537.260009765625,543.77001953125,537.260009765625,543.77001953125,0
1996-01-11,538.8200073242188,538.8200073242188,539.0399780273438,537.2100219726562,537.260009765625,0
1996-01-12,536.239990234375,536.239990234375,539.72998046875,534.739990234375,538.8200073242188,0
1996-01-15,534.1400146484375,534.1400146484375,537.9600219726562,533.5499877929688,536.239990234375,0
1996-01-16,532.9600219726562,532.9600219726562,535.0599975585938,530.5999755859375,534.1400146484375,0
1996-01-17,534.3599853515625,534.3599853515625,534.3599853515625,532.9600219726562,532.9600219726562,0
1996-01-18,529.8400268554688,529.8400268554688,534.52001953125,528.6099853515625,534.3599853515625,0
1996-01-19,531.3499755859375,531.3499755859375,532.0499877929688,529.6799926757812,529.8400268554688,0
1996-01-22,532.4199829101562,532.4199829101562,533.5,531.3499755859375,531.3499755859375,0
1996-01-23,534.2000122070312,534.2000122070312,534.3599853515625,532.2100219726562,532.4199829101562,0
1996-01-24,538.3900146484375,538.3900146484375,539.0399780273438,534.2000122070312,534.2000122070312,0
1996-01-25,542.530029296875,542.530029296875,543.6599731445312,538.3400268554688,538.3900146484375,0
1996-01-26,546.239990234375,546.239990234375,546.510009765625,541.719970703125,542.530029296875,0
1996-01-29,548.5,548.5,548.5499877929688,546.1799926757812,546.239990234375,0
1996-01-30,551.719970703125,551.719970703125,551.719970703125,548.5,548.5,0
1996-01-31,554.510009765625,554.510009765625,554.510009765625,551.4000244140625,551.719970703125,0
1996-02-01,556.22998046875,556.22998046875,556.6599731445312,554.4600219726562,554.510009765625,0
1996-02-02,556.3400268554688,556.3400268554688,558.5499877929688,555.1099853515625,556.22998046875,0
1996-02-05,558.3800048828125,558.3800048828125,558.4400024414062,555.5399780273438,556.3400268554688,0
1996-02-06,560.9600219726562,560.9600219726562,561.02001953125,558.3800048828125,558.3800048828125,0
1996-02-07,563.7100219726562,563.7100219726562,563.7100219726562,560.75,560.9600219726562,0
1996-02-08,566.3400268554688,566.3400268554688,566.3400268554688,562.3599853515625,563.7100219726562,0
1996-02-09,565.47998046875,565.47998046875,567.2000122070312,564.0800170898438,566.3400268554688,0
1996-02-12,563.969970703125,563.969970703125,565.47998046875,563.969970703125,565.47998046875,0
1996-02-13,562.1500244140625,562.1500244140625,563.969970703125,562.1500244140625,563.969970703125,0
1996-02-14,562.8900146484375,562.8900146484375,563.4400024414062,560.27001953125,562.1500244140625,0
1996-02-15,562.6900024414062,562.6900024414062,563.1699829101562,561.3400268554688,562.8900146484375,0
1996-02-16,563.969970703125,563.969970703125,563.969970703125,561.02001953125,562.6900024414062,0
1996-02-20,561.1400146484375,561.1400146484375,563.969970703125,560.0999755859375,563.969970703125,0
1996-02-21,568.0800170898438,568.0800170898438,568.6500244140625,561.1300048828125,561.1400146484375,0
1996-02-22,573.1900024414062,573.1900024414062,573.5999755859375,568.0599975585938,568.0800170898438,0
1996-02-23,572.25,572.25,574.780029296875,570.0499877929688,573.1900024414062,0
1996-02-26,568.5800170898438,568.5800170898438,572.4099731445312,567.4099731445312,572.25,0
1996-02-27,566.9099731445312,566.9099731445312,569.6199951171875,565.9099731445312,568.5800170898438,0
1996-02-28,569.52001953125,569.52001953125,570.8499755859375,566.719970703125,566.9099731445312,0
1996-02-29,564.6099853515625,564.6099853515625,569.52001953125,564.510009765625,569.52001953125,0
1996-03-01,565.969970703125,565.969970703125,566.6099853515625,562.52001953125,564.6099853515625,0
1996-03-04,569.77001953125,569.77001953125,569.780029296875,565.75,565.969970703125,0
1996-03-05,571.989990234375,571.989990234375,571.989990234375,569.510009765625,569.77001953125,0
1996-03-06,572.6400146484375,572.6400146484375,572.739990234375,571.7100219726562,571.989990234375,0
1996-03-07,573.2000122070312,573.2000122070312,573.969970703125,572.2000122070312,572.6400146484375,0
1996-03-08,560.8599853515625,560.8599853515625,573.219970703125,559.1400146484375,573.2000122070312,0
1996-03-11,563.4299926757812,563.4299926757812,563.4400024414062,557.260009765625,560.8599853515625,0
1996-03-12,561.1099853515625,561.1099853515625,563.4400024414062,557.9000244140625,563.4299926757812,0
1996-03-13,562.5800170898438,562.5800170898438,562.5800170898438,561.1099853515625,561.1099853515625,0
1996-03-14,563.969970703125,563.969970703125,565.260009765625,562.3599853515625,562.5800170898438,0
1996-03-15,563.7100219726562,563.7100219726562,563.969970703125,563.7100219726562,563.969970703125,0
1996-03-18,567.0399780273438,567.0399780273438,567.5800170898438,563.7100219726562,563.7100219726562,0
1996-03-19,566.6599731445312,566.6599731445312,568.5399780273438,566.3400268554688,567.0399780273438,0
1996-03-20,569.2999877929688,569.2999877929688,569.2999877929688,565.3699951171875,566.6599731445312,0
1996-03-21,570.4199829101562,570.4199829101562,570.7999877929688,568.6500244140625,569.2999877929688,0
1996-03-22,571.6599731445312,571.6599731445312,571.6599731445312,569.6699829101562,570.4199829101562,0
1996-03-25,570.0999755859375,570.0999755859375,573.6500244140625,569.6199951171875,571.6599731445312,0
1996-03-26,570.9099731445312,570.9099731445312,571.02001953125,570.0499877929688,570.0999755859375,0
1996-03-27,570.3200073242188,570.3200073242188,571.97998046875,569.8300170898438,570.9099731445312,0
1996-03-28,568.4400024414062,568.4400024414062,570.5900268554688,566.4500122070312,570.3200073242188,0
1996-03-29,573.760009765625,573.760009765625,573.760009765625,568.4400024414062,568.4400024414062,0
1996-04-01,574.8900146484375,574.8900146484375,575.0999755859375,568.4400024414062,573.760009765625,0
1996-04-02,574.9400024414062,574.9400024414062,575.47998046875,573.5399780273438,574.8900146484375,0
1996-04-03,576.6099853515625,576.6099853515625,576.8699951171875,574.8300170898438,574.9400024414062,0
1996-04-04,579.6699829101562,579.6699829101562,580.2100219726562,576.6099853515625,576.6099853515625,0
1996-04-08,572.8400268554688,572.8400268554688,579.6699829101562,569.9400024414062,579.6699829101562,0
1996-04-09,575.2100219726562,575.2100219726562,576.6099853515625,572.8400268554688,572.8400268554688,0
1996-04-10,572.469970703125,572.469970703125,576.280029296875,572.3599853515625,575.2100219726562,0
1996-04-11,572.7899780273438,572.7899780273438,572.7899780273438,572.469970703125,572.469970703125,0
1996-04-12,574.5599975585938,574.5599975585938,574.989990234375,572.7899780273438,572.7899780273438,0
1996-04-15,578.5399780273438,578.5399780273438,578.5399780273438,574.5599975585938,574.5599975585938,0
